timestamp;consumption;production;temperature
2025-01-01T00:00:00;1.20;0.00;-3.5
2025-01-01T01:00:00;1.10;0.00;-3.8
2025-01-01T02:00:00;0.95;0.00;-4.1
2025-01-01T03:00:00;0.90;0.00;-4.0
2025-01-01T04:00:00;1.05;0.00;-3.7
2025-01-01T05:00:00;1.30;0.00;-3.2
2025-01-01T06:00:00;1.45;0.10;-2.8
2025-01-01T07:00:00;1.60;0.25;-2.0
2025-01-01T08:00:00;1.80;0.40;-1.5
2025-01-01T09:00:00;1.75;0.55;-1.0
2025-01-01T10:00:00;1.50;0.60;0.5
2025-01-01T11:00:00;1.40;0.75;1.2
2025-01-01T12:00:00;1.35;0.90;2.0
2025-01-01T13:00:00;1.25;0.85;2.3
2025-01-01T14:00:00;1.20;0.70;2.5
2025-01-01T15:00:00;1.10;0.50;1.8
2025-01-01T16:00:00;1.05;0.30;1.2
2025-01-01T17:00:00;1.30;0.10;0.5
2025-01-01T18:00:00;1.60;0.00;-0.5
2025-01-01T19:00:00;1.75;0.00;-1.5
2025-01-01T20:00:00;1.90;0.00;-2.2
2025-01-01T21:00:00;1.70;0.00;-2.8
2025-01-01T22:00:00;1.50;0.00;-3.2
2025-01-01T23:00:00;1.35;0.00;-3.6
